game_index,seed,subrun,subrun_game_index,mcts_color
0,20260414,mcts_black,0,black
1,20260415,mcts_black,1,black
2,20260416,mcts_black,2,black
3,20260417,mcts_black,3,black
4,20260418,mcts_black,4,black
5,20260419,mcts_white,0,white
6,20260420,mcts_white,1,white
7,20260421,mcts_white,2,white
8,20260422,mcts_white,3,white
9,20260423,mcts_white,4,white
