game_index,subrun,subrun_game_index,seed,mcts_color,minimax_color,mcts_label,minimax_label,winner_color,winner_label,mcts_won,minimax_won,move_count,termination_reason,total_duration_s,mcts_turns,minimax_turns,mcts_think_time_s,minimax_think_time_s,mcts_avg_move_time_s,minimax_avg_move_time_s,mcts_max_move_time_s,minimax_max_move_time_s,mcts_exceeded_move_time_limit,minimax_exceeded_move_time_limit,mcts_margin,abs_margin,board_size,move_limit,komi,black_label,white_label,black_family,white_family,black_won,white_won,black_margin,score_b,score_w,result_text
0,mcts_black,0,20266414,black,white,MCTS(rounds=4000),Minimax(depth=5),white,Minimax(depth=5),0,1,27,two_passes,344.54892214003485,14,13,309.330003582,35.2175436789,22.0950002559,2.70904182146,68.296957518,9.14567740401,1,0,-6.5,6.5,5,50,7.5,"MCTS(rounds=4000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax(depth=5),MCTS,Minimax,0,1,-6.5,13,12,W+6.5
1,mcts_black,1,20266415,black,white,MCTS(rounds=4000),Minimax(depth=5),white,Minimax(depth=5),0,1,48,two_passes,519.9717587600462,24,24,458.780669968,61.1886416974,19.1158612487,2.54952673739,72.528189881,9.31692037103,1,0,-32.5,32.5,5,50,7.5,"MCTS(rounds=4000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax(depth=5),MCTS,Minimax,0,1,-32.5,0,25,W+32.5
2,mcts_black,2,20266416,black,white,MCTS(rounds=4000),Minimax(depth=5),white,Minimax(depth=5),0,1,48,two_passes,467.38422515406273,24,24,413.208570321,54.173354995,17.2170237634,2.25722312479,46.685341038,9.05512827798,1,0,-32.5,32.5,5,50,7.5,"MCTS(rounds=4000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax(depth=5),MCTS,Minimax,0,1,-32.5,0,25,W+32.5
3,mcts_black,3,20266417,black,white,MCTS(rounds=4000),Minimax(depth=5),white,Minimax(depth=5),0,1,27,two_passes,416.2460717599606,14,13,367.738587801,48.5059782222,26.2670419858,3.73122909402,72.36503187,12.6937470359,1,0,-3.5,3.5,5,50,7.5,"MCTS(rounds=4000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax(depth=5),MCTS,Minimax,0,1,-3.5,14,10,W+3.5
4,mcts_black,4,20266418,black,white,MCTS(rounds=4000),Minimax(depth=5),white,Minimax(depth=5),0,1,48,two_passes,423.4149616159266,24,24,368.812376446,54.6002524679,15.3671823519,2.2750105195,68.8048432741,9.01569223695,1,0,-32.5,32.5,5,50,7.5,"MCTS(rounds=4000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax(depth=5),MCTS,Minimax,0,1,-32.5,0,25,W+32.5
5,mcts_white,0,20266419,white,black,MCTS(rounds=4000),Minimax(depth=5),white,"MCTS(rounds=4000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",1,0,50,move_limit_score,533.490860446007,25,25,496.585159038,36.9028330501,19.8634063615,1.476113322,72.7699488411,9.60503199999,1,0,32.5,32.5,5,50,7.5,Minimax(depth=5),"MCTS(rounds=4000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,0,1,-32.5,0,25,W+32.5
6,mcts_white,1,20266420,white,black,MCTS(rounds=4000),Minimax(depth=5),white,"MCTS(rounds=4000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",1,0,50,move_limit_score,553.1122262020363,25,25,508.730020194,44.3793078812,20.3492008078,1.77517231525,72.891544246,14.198139649,1,0,32.5,32.5,5,50,7.5,Minimax(depth=5),"MCTS(rounds=4000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,0,1,-32.5,0,25,W+32.5
7,mcts_white,2,20266421,white,black,MCTS(rounds=4000),Minimax(depth=5),white,"MCTS(rounds=4000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",1,0,50,move_limit_score,510.9615185339935,25,25,476.829706636,34.1289985873,19.0731882654,1.36515994349,72.8990234389,7.24806737399,1,0,32.5,32.5,5,50,7.5,Minimax(depth=5),"MCTS(rounds=4000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,0,1,-32.5,0,25,W+32.5
8,mcts_white,3,20266422,white,black,MCTS(rounds=4000),Minimax(depth=5),white,"MCTS(rounds=4000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",1,0,50,move_limit_score,504.28429570398293,25,25,470.30046708,33.981002096,18.8120186832,1.35924008384,71.9096214969,7.62522262894,1,0,32.5,32.5,5,50,7.5,Minimax(depth=5),"MCTS(rounds=4000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,0,1,-32.5,0,25,W+32.5
9,mcts_white,4,20266423,white,black,MCTS(rounds=4000),Minimax(depth=5),white,"MCTS(rounds=4000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",1,0,50,move_limit_score,576.0449930740288,25,25,526.645982116,49.3960637649,21.0658392846,1.9758425506,72.5597709561,14.044481084,1,0,32.5,32.5,5,50,7.5,Minimax(depth=5),"MCTS(rounds=4000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,0,1,-32.5,0,25,W+32.5
