game_index,seed,subrun,subrun_game_index,mcts_color
0,20266414,mcts_black,0,black
1,20266415,mcts_black,1,black
2,20266416,mcts_black,2,black
3,20266417,mcts_black,3,black
4,20266418,mcts_black,4,black
5,20266419,mcts_white,0,white
6,20266420,mcts_white,1,white
7,20266421,mcts_white,2,white
8,20266422,mcts_white,3,white
9,20266423,mcts_white,4,white
