game_index,seed,board_size,move_limit,komi,black_label,white_label,black_family,white_family,winner_color,winner_label,black_won,white_won,move_count,termination_reason,total_duration_s,black_turns,white_turns,black_think_time_s,white_think_time_s,black_avg_move_time_s,white_avg_move_time_s,black_max_move_time_s,white_max_move_time_s,black_exceeded_move_time_limit,white_exceeded_move_time_limit,black_margin,score_b,score_w,komi,result_text
0,20263419,5,50,7.5,Minimax(depth=4),"MCTS(rounds=2200, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,black,Minimax(depth=4),1,0,37,two_passes,291.13071395398583,19,18,16.758243862888776,274.37027886509895,0.8820128348888829,15.242793270283276,3.237389240995981,40.13056759699248,0,1,6.5,19,5,7.5,B+6.5
1,20263420,5,50,7.5,Minimax(depth=4),"MCTS(rounds=2200, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,black,Minimax(depth=4),1,0,33,two_passes,245.03804801299702,17,16,14.796011580270715,230.24016251415014,0.8703536223688656,14.390010157134384,3.3009964789962396,40.91907516506035,0,1,2.5,17,7,7.5,B+2.5
2,20263421,5,50,7.5,Minimax(depth=4),"MCTS(rounds=2200, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,black,Minimax(depth=4),1,0,39,two_passes,231.62976800999604,20,19,13.05012787913438,218.57767771009821,0.6525063939567189,11.504088300531485,3.421407054993324,40.256784616969526,0,1,8.5,20,4,7.5,B+8.5
3,20263422,5,50,7.5,Minimax(depth=4),"MCTS(rounds=2200, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,black,Minimax(depth=4),1,0,41,two_passes,322.91048808197957,21,20,21.714480137219653,301.1935529730981,1.0340228636771263,15.059677648654906,3.2441941319266334,39.793010305962525,0,1,10.5,21,3,7.5,B+10.5
4,20263423,5,50,7.5,Minimax(depth=4),"MCTS(rounds=2200, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,black,Minimax(depth=4),1,0,47,two_passes,313.28128204506356,24,23,19.293699692119844,293.98479440796655,0.8039041538383268,12.781947582955068,3.1431196220219135,40.28024903393816,0,1,17.5,25,0,7.5,B+17.5
