game_index,seed,board_size,move_limit,komi,black_label,white_label,black_family,white_family,winner_color,winner_label,black_won,white_won,move_count,termination_reason,total_duration_s,black_turns,white_turns,black_think_time_s,white_think_time_s,black_avg_move_time_s,white_avg_move_time_s,black_max_move_time_s,white_max_move_time_s,black_exceeded_move_time_limit,white_exceeded_move_time_limit,black_margin,score_b,score_w,komi,result_text
0,20265419,5,50,7.5,Minimax(depth=5),"MCTS(rounds=3000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,black,Minimax(depth=5),1,0,47,two_passes,451.7517660750309,24,23,54.116610326687805,397.63265478401445,2.254858763611992,17.28837629495715,14.173328536911868,54.938181711011566,0,1,17.5,25,0,7.5,B+17.5
1,20265420,5,50,7.5,Minimax(depth=5),"MCTS(rounds=3000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,black,Minimax(depth=5),1,0,47,two_passes,397.68763143592514,24,23,37.10781805193983,360.5773548001889,1.546159085497493,15.677276295660388,8.474889799021184,50.908116796053946,0,1,17.5,25,0,7.5,B+17.5
2,20265421,5,50,7.5,Minimax(depth=5),"MCTS(rounds=3000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,black,Minimax(depth=5),1,0,47,two_passes,336.96411948802415,24,23,43.432320175576024,293.5294369190233,1.8096800073156676,12.762149431261882,10.614664903958328,54.82825808599591,0,1,17.5,25,0,7.5,B+17.5
3,20265422,5,50,7.5,Minimax(depth=5),"MCTS(rounds=3000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,black,Minimax(depth=5),1,0,50,move_limit_score,441.10028559190687,25,25,50.76413519412745,390.33330999780446,2.030565407765098,15.613332399912178,14.07474631909281,54.00363626796752,0,1,17.5,25,0,7.5,B+17.5
4,20265423,5,50,7.5,Minimax(depth=5),"MCTS(rounds=3000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,white,"MCTS(rounds=3000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",0,1,50,move_limit_score,445.3502425760962,25,25,44.554652431979775,400.79273310594726,1.782186097279191,16.03170932423789,14.594306788989343,54.545516552985646,0,1,-32.5,0,25,7.5,W+32.5
