game_index,seed,board_size,move_limit,komi,black_label,white_label,black_family,white_family,winner_color,winner_label,black_won,white_won,move_count,termination_reason,total_duration_s,black_turns,white_turns,black_think_time_s,white_think_time_s,black_avg_move_time_s,white_avg_move_time_s,black_max_move_time_s,white_max_move_time_s,black_exceeded_move_time_limit,white_exceeded_move_time_limit,black_margin,score_b,score_w,komi,result_text
0,20264414,5,50,7.5,"MCTS(rounds=2200, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax(depth=5),MCTS,Minimax,white,Minimax(depth=5),0,1,48,two_passes,358.0952053369256,24,24,281.8898123523686,76.20245985209476,11.745408848015359,3.1751024938372816,39.14062693400774,10.132111188955605,1,0,-32.5,0,25,7.5,W+32.5
1,20264415,5,50,7.5,"MCTS(rounds=2200, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax(depth=5),MCTS,Minimax,white,Minimax(depth=5),0,1,48,two_passes,359.8277545629535,24,24,282.824550919584,77.00033099018037,11.784356288316,3.208347124590849,38.88869517901912,11.058725778013468,1,0,-32.5,0,25,7.5,W+32.5
2,20264416,5,50,7.5,"MCTS(rounds=2200, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax(depth=5),MCTS,Minimax,white,Minimax(depth=5),0,1,48,two_passes,323.1664942819625,24,24,253.5230068480596,69.6408337453613,10.56345861866915,2.901701406056721,39.35247199900914,11.111749667092226,1,0,-32.5,0,25,7.5,W+32.5
3,20264417,5,50,7.5,"MCTS(rounds=2200, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax(depth=5),MCTS,Minimax,white,Minimax(depth=5),0,1,26,two_passes,187.9564374180045,13,13,156.3481801864691,31.606960403965786,12.026783091266854,2.4313046464589068,20.896318675018847,6.656333859078586,1,0,-6.5,13,12,7.5,W+6.5
4,20264418,5,50,7.5,"MCTS(rounds=2200, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax(depth=5),MCTS,Minimax,white,Minimax(depth=5),0,1,48,two_passes,267.96922105702106,24,24,210.58768539479934,57.37898934003897,8.774486891449973,2.390791222501624,33.34245449095033,9.330281165079214,1,0,-32.5,0,25,7.5,W+32.5
