game_index,seed,board_size,move_limit,komi,black_label,white_label,black_family,white_family,winner_color,winner_label,black_won,white_won,move_count,termination_reason,total_duration_s,black_turns,white_turns,black_think_time_s,white_think_time_s,black_avg_move_time_s,white_avg_move_time_s,black_max_move_time_s,white_max_move_time_s,black_exceeded_move_time_limit,white_exceeded_move_time_limit,black_margin,score_b,score_w,komi,result_text
0,20266419,5,50,7.5,Minimax(depth=5),"MCTS(rounds=4000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,white,"MCTS(rounds=4000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",0,1,50,move_limit_score,533.490860446007,25,25,36.9028330501169,496.5851590380771,1.4761133220046758,19.863406361523083,9.605031999992207,72.76994884107262,0,1,-32.5,0,25,7.5,W+32.5
1,20266420,5,50,7.5,Minimax(depth=5),"MCTS(rounds=4000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,white,"MCTS(rounds=4000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",0,1,50,move_limit_score,553.1122262020363,25,25,44.37930788123049,508.7300201940816,1.7751723152492196,20.349200807763264,14.19813964900095,72.89154424599838,0,1,-32.5,0,25,7.5,W+32.5
2,20266421,5,50,7.5,Minimax(depth=5),"MCTS(rounds=4000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,white,"MCTS(rounds=4000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",0,1,50,move_limit_score,510.9615185339935,25,25,34.12899858725723,476.8297066356754,1.3651599434902892,19.073188265427017,7.248067373991944,72.89902343892027,0,1,-32.5,0,25,7.5,W+32.5
3,20266422,5,50,7.5,Minimax(depth=5),"MCTS(rounds=4000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,white,"MCTS(rounds=4000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",0,1,50,move_limit_score,504.28429570398293,25,25,33.981002095970325,470.300467079971,1.359240083838813,18.81201868319884,7.6252226289361715,71.90962149691768,0,1,-32.5,0,25,7.5,W+32.5
4,20266423,5,50,7.5,Minimax(depth=5),"MCTS(rounds=4000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,white,"MCTS(rounds=4000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",0,1,50,move_limit_score,576.0449930740288,25,25,49.39606376492884,526.645982116228,1.9758425505971535,21.06583928464912,14.044481083983555,72.5597709560534,0,1,-32.5,0,25,7.5,W+32.5
