game_index,seed,subrun,subrun_game_index,mcts_color
0,20263414,mcts_black,0,black
1,20263415,mcts_black,1,black
2,20263416,mcts_black,2,black
3,20263417,mcts_black,3,black
4,20263418,mcts_black,4,black
5,20263419,mcts_white,0,white
6,20263420,mcts_white,1,white
7,20263421,mcts_white,2,white
8,20263422,mcts_white,3,white
9,20263423,mcts_white,4,white
