game_index,subrun,subrun_game_index,seed,mcts_color,minimax_color,mcts_label,minimax_label,winner_color,winner_label,mcts_won,minimax_won,move_count,termination_reason,total_duration_s,mcts_turns,minimax_turns,mcts_think_time_s,minimax_think_time_s,mcts_avg_move_time_s,minimax_avg_move_time_s,mcts_max_move_time_s,minimax_max_move_time_s,mcts_exceeded_move_time_limit,minimax_exceeded_move_time_limit,mcts_margin,abs_margin,board_size,move_limit,komi,black_label,white_label,black_family,white_family,black_won,white_won,black_margin,score_b,score_w,result_text
0,mcts_black,0,20263414,black,white,MCTS(rounds=2200),Minimax(depth=4),white,Minimax(depth=4),0,1,26,two_passes,158.2929049169179,13,13,148.419127453,9.87249174609,11.4168559579,0.759422442007,20.440963896,2.60815081105,1,0,-8.5,8.5,5,50,7.5,"MCTS(rounds=2200, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax(depth=4),MCTS,Minimax,0,1,-8.5,11,12,W+8.5
1,mcts_black,1,20263415,black,white,MCTS(rounds=2200),Minimax(depth=4),white,Minimax(depth=4),0,1,26,two_passes,180.96572908898816,13,13,169.95474841,11.0096289447,13.0734421854,0.846894534206,38.9213364751,2.14326664992,1,0,-8.5,8.5,5,50,7.5,"MCTS(rounds=2200, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax(depth=4),MCTS,Minimax,0,1,-8.5,11,12,W+8.5
2,mcts_black,2,20263416,black,white,MCTS(rounds=2200),Minimax(depth=4),white,Minimax(depth=4),0,1,26,two_passes,216.06306433991995,13,13,203.052290787,13.0092750896,15.6194069836,1.00071346843,39.1447594099,2.16149034502,1,0,-8.5,8.5,5,50,7.5,"MCTS(rounds=2200, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax(depth=4),MCTS,Minimax,0,1,-8.5,11,12,W+8.5
3,mcts_black,3,20263417,black,white,MCTS(rounds=2200),Minimax(depth=4),white,Minimax(depth=4),0,1,28,two_passes,217.69481540797278,14,14,205.71986323,11.9734258588,14.694275945,0.855244704198,33.68797253,2.60217818792,1,0,-6.5,6.5,5,50,7.5,"MCTS(rounds=2200, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax(depth=4),MCTS,Minimax,0,1,-6.5,13,12,W+6.5
4,mcts_black,4,20263418,black,white,MCTS(rounds=2200),Minimax(depth=4),white,Minimax(depth=4),0,1,27,two_passes,198.3170417380752,14,13,187.448095351,10.8674982929,13.3891496679,0.835961407149,39.184796482,2.13022256095,1,0,-4.5,4.5,5,50,7.5,"MCTS(rounds=2200, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax(depth=4),MCTS,Minimax,0,1,-4.5,14,11,W+4.5
5,mcts_white,0,20263419,white,black,MCTS(rounds=2200),Minimax(depth=4),black,Minimax(depth=4),0,1,37,two_passes,291.13071395398583,18,19,274.370278865,16.7582438629,15.2427932703,0.882012834889,40.130567597,3.237389241,1,0,-6.5,6.5,5,50,7.5,Minimax(depth=4),"MCTS(rounds=2200, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,1,0,6.5,19,5,B+6.5
6,mcts_white,1,20263420,white,black,MCTS(rounds=2200),Minimax(depth=4),black,Minimax(depth=4),0,1,33,two_passes,245.03804801299702,16,17,230.240162514,14.7960115803,14.3900101571,0.870353622369,40.9190751651,3.300996479,1,0,-2.5,2.5,5,50,7.5,Minimax(depth=4),"MCTS(rounds=2200, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,1,0,2.5,17,7,B+2.5
7,mcts_white,2,20263421,white,black,MCTS(rounds=2200),Minimax(depth=4),black,Minimax(depth=4),0,1,39,two_passes,231.62976800999604,19,20,218.57767771,13.0501278791,11.5040883005,0.652506393957,40.256784617,3.42140705499,1,0,-8.5,8.5,5,50,7.5,Minimax(depth=4),"MCTS(rounds=2200, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,1,0,8.5,20,4,B+8.5
8,mcts_white,3,20263422,white,black,MCTS(rounds=2200),Minimax(depth=4),black,Minimax(depth=4),0,1,41,two_passes,322.91048808197957,20,21,301.193552973,21.7144801372,15.0596776487,1.03402286368,39.793010306,3.24419413193,1,0,-10.5,10.5,5,50,7.5,Minimax(depth=4),"MCTS(rounds=2200, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,1,0,10.5,21,3,B+10.5
9,mcts_white,4,20263423,white,black,MCTS(rounds=2200),Minimax(depth=4),black,Minimax(depth=4),0,1,47,two_passes,313.28128204506356,23,24,293.984794408,19.2936996921,12.781947583,0.803904153838,40.2802490339,3.14311962202,1,0,-17.5,17.5,5,50,7.5,Minimax(depth=4),"MCTS(rounds=2200, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,1,0,17.5,25,0,B+17.5
