game_index,seed,subrun,subrun_game_index,mcts_color
0,20265414,mcts_black,0,black
1,20265415,mcts_black,1,black
2,20265416,mcts_black,2,black
3,20265417,mcts_black,3,black
4,20265418,mcts_black,4,black
5,20265419,mcts_white,0,white
6,20265420,mcts_white,1,white
7,20265421,mcts_white,2,white
8,20265422,mcts_white,3,white
9,20265423,mcts_white,4,white
