game_index,subrun,subrun_game_index,seed,mcts_color,minimax_color,mcts_label,minimax_label,winner_color,winner_label,mcts_won,minimax_won,move_count,termination_reason,total_duration_s,mcts_turns,minimax_turns,mcts_think_time_s,minimax_think_time_s,mcts_avg_move_time_s,minimax_avg_move_time_s,mcts_max_move_time_s,minimax_max_move_time_s,mcts_exceeded_move_time_limit,minimax_exceeded_move_time_limit,mcts_margin,abs_margin,board_size,move_limit,komi,black_label,white_label,black_family,white_family,black_won,white_won,black_margin,score_b,score_w,result_text
0,mcts_black,0,20265414,black,white,MCTS(rounds=3000),Minimax(depth=5),white,Minimax(depth=5),0,1,48,two_passes,422.87769966805354,24,24,353.282284164,69.5927861459,14.7200951735,2.89969942274,53.549388729,10.192358416,1,0,-32.5,32.5,5,50,7.5,"MCTS(rounds=3000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax(depth=5),MCTS,Minimax,0,1,-32.5,0,25,W+32.5
1,mcts_black,1,20265415,black,white,MCTS(rounds=3000),Minimax(depth=5),white,Minimax(depth=5),0,1,48,two_passes,347.84146186802536,24,24,288.359796593,59.4792314158,12.0149915247,2.47830130899,54.3207194241,9.34878988191,1,0,-32.5,32.5,5,50,7.5,"MCTS(rounds=3000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax(depth=5),MCTS,Minimax,0,1,-32.5,0,25,W+32.5
2,mcts_black,2,20265416,black,white,MCTS(rounds=3000),Minimax(depth=5),white,Minimax(depth=5),0,1,48,two_passes,423.12304246402346,24,24,352.429641756,70.6907735679,14.6845684065,2.94544889866,53.026588705,11.047857248,1,0,-32.5,32.5,5,50,7.5,"MCTS(rounds=3000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax(depth=5),MCTS,Minimax,0,1,-32.5,0,25,W+32.5
3,mcts_black,3,20265417,black,white,MCTS(rounds=3000),Minimax(depth=5),white,Minimax(depth=5),0,1,48,two_passes,406.99248686491046,24,24,338.056125945,68.9337751233,14.0856719144,2.87224063014,50.5220986389,11.3038922149,1,0,-32.5,32.5,5,50,7.5,"MCTS(rounds=3000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax(depth=5),MCTS,Minimax,0,1,-32.5,0,25,W+32.5
4,mcts_black,4,20265418,black,white,MCTS(rounds=3000),Minimax(depth=5),white,Minimax(depth=5),0,1,48,two_passes,384.39626370801125,24,24,320.187084286,64.2066560609,13.3411285119,2.67527733587,53.24702953,11.064450306,1,0,-32.5,32.5,5,50,7.5,"MCTS(rounds=3000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax(depth=5),MCTS,Minimax,0,1,-32.5,0,25,W+32.5
5,mcts_white,0,20265419,white,black,MCTS(rounds=3000),Minimax(depth=5),black,Minimax(depth=5),0,1,47,two_passes,451.7517660750309,23,24,397.632654784,54.1166103267,17.288376295,2.25485876361,54.938181711,14.1733285369,1,0,-17.5,17.5,5,50,7.5,Minimax(depth=5),"MCTS(rounds=3000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,1,0,17.5,25,0,B+17.5
6,mcts_white,1,20265420,white,black,MCTS(rounds=3000),Minimax(depth=5),black,Minimax(depth=5),0,1,47,two_passes,397.68763143592514,23,24,360.5773548,37.1078180519,15.6772762957,1.5461590855,50.9081167961,8.47488979902,1,0,-17.5,17.5,5,50,7.5,Minimax(depth=5),"MCTS(rounds=3000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,1,0,17.5,25,0,B+17.5
7,mcts_white,2,20265421,white,black,MCTS(rounds=3000),Minimax(depth=5),black,Minimax(depth=5),0,1,47,two_passes,336.96411948802415,23,24,293.529436919,43.4323201756,12.7621494313,1.80968000732,54.828258086,10.614664904,1,0,-17.5,17.5,5,50,7.5,Minimax(depth=5),"MCTS(rounds=3000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,1,0,17.5,25,0,B+17.5
8,mcts_white,3,20265422,white,black,MCTS(rounds=3000),Minimax(depth=5),black,Minimax(depth=5),0,1,50,move_limit_score,441.10028559190687,25,25,390.333309998,50.7641351941,15.6133323999,2.03056540777,54.003636268,14.0747463191,1,0,-17.5,17.5,5,50,7.5,Minimax(depth=5),"MCTS(rounds=3000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,1,0,17.5,25,0,B+17.5
9,mcts_white,4,20265423,white,black,MCTS(rounds=3000),Minimax(depth=5),white,"MCTS(rounds=3000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",1,0,50,move_limit_score,445.3502425760962,25,25,400.792733106,44.554652432,16.0317093242,1.78218609728,54.545516553,14.594306789,1,0,32.5,32.5,5,50,7.5,Minimax(depth=5),"MCTS(rounds=3000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,0,1,-32.5,0,25,W+32.5
