job_key,plan,primary_label,secondary_label,games,output_dir,status,duration_s,seed_list,note
mcts300_vs_minimax4,crossplay,MCTS(rounds=300),Minimax(depth=4),10,/data/wyw/jdz/go/experiments/results/experiment_plan/mcts300_vs_minimax4,completed,76.510,20260414 20260415 20260416 20260417 20260418 20260419 20260420 20260421 20260422 20260423,~1.5s level
mcts600_vs_minimax5,crossplay,MCTS(rounds=600),Minimax(depth=5),10,/data/wyw/jdz/go/experiments/results/experiment_plan/mcts600_vs_minimax5,completed,183.846,20261414 20261415 20261416 20261417 20261418 20261419 20261420 20261421 20261422 20261423,~3.5s level
mcts2200_vs_minimax6,crossplay,MCTS(rounds=2200),Minimax(depth=6),10,/data/wyw/jdz/go/experiments/results/experiment_plan/mcts2200_vs_minimax6,completed,363.817,20262414 20262415 20262416 20262417 20262418 20262419 20262420 20262421 20262422 20262423,~25s level
mcts2200_vs_minimax4,crossplay,MCTS(rounds=2200),Minimax(depth=4),10,/data/wyw/jdz/go/experiments/results/experiment_plan/mcts2200_vs_minimax4,completed,323.125,20263414 20263415 20263416 20263417 20263418 20263419 20263420 20263421 20263422 20263423,
mcts2200_vs_minimax5,crossplay,MCTS(rounds=2200),Minimax(depth=5),10,/data/wyw/jdz/go/experiments/results/experiment_plan/mcts2200_vs_minimax5,completed,383.600,20264414 20264415 20264416 20264417 20264418 20264419 20264420 20264421 20264422 20264423,
mcts3000_vs_minimax5,crossplay,MCTS(rounds=3000),Minimax(depth=5),10,/data/wyw/jdz/go/experiments/results/experiment_plan/mcts3000_vs_minimax5,completed,452.026,20265414 20265415 20265416 20265417 20265418 20265419 20265420 20265421 20265422 20265423,
mcts4000_vs_minimax5,crossplay,MCTS(rounds=4000),Minimax(depth=5),10,/data/wyw/jdz/go/experiments/results/experiment_plan/mcts4000_vs_minimax5,completed,576.354,20266414 20266415 20266416 20266417 20266418 20266419 20266420 20266421 20266422 20266423,
mcts5000_vs_minimax5,crossplay,MCTS(rounds=5000),Minimax(depth=5),10,/data/wyw/jdz/go/experiments/results/experiment_plan/mcts5000_vs_minimax5,completed,641.089,20267414 20267415 20267416 20267417 20267418 20267419 20267420 20267421 20267422 20267423,
