game_index,seed,subrun,subrun_game_index,standard_color
0,20265414,standard_black,0,black
1,20265415,standard_black,1,black
2,20265416,standard_black,2,black
3,20265417,standard_black,3,black
4,20265418,standard_black,4,black
5,20265419,standard_white,0,white
6,20265420,standard_white,1,white
7,20265421,standard_white,2,white
8,20265422,standard_white,3,white
9,20265423,standard_white,4,white
