game_index,seed,board_size,move_limit,komi,black_label,white_label,black_family,white_family,winner_color,winner_label,black_won,white_won,move_count,termination_reason,total_duration_s,black_turns,white_turns,black_think_time_s,white_think_time_s,black_avg_move_time_s,white_avg_move_time_s,black_max_move_time_s,white_max_move_time_s,black_exceeded_move_time_limit,white_exceeded_move_time_limit,black_margin,score_b,score_w,komi,result_text
0,20266414,5,50,7.5,"MCTS(rounds=4000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax(depth=5),MCTS,Minimax,white,Minimax(depth=5),0,1,27,two_passes,344.54892214003485,14,13,309.3300035819411,35.217543678940274,22.095000255852938,2.7090418214569443,68.29695751797408,9.145677404012531,1,0,-6.5,13,12,7.5,W+6.5
1,20266415,5,50,7.5,"MCTS(rounds=4000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax(depth=5),MCTS,Minimax,white,Minimax(depth=5),0,1,48,two_passes,519.9717587600462,24,24,458.78066996799316,61.18864169740118,19.11586124866638,2.549526737391716,72.52818988100626,9.316920371027663,1,0,-32.5,0,25,7.5,W+32.5
2,20266416,5,50,7.5,"MCTS(rounds=4000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax(depth=5),MCTS,Minimax,white,Minimax(depth=5),0,1,48,two_passes,467.38422515406273,24,24,413.20857032132335,54.173354994971305,17.21702376338847,2.257223124790471,46.68534103804268,9.055128277977929,1,0,-32.5,0,25,7.5,W+32.5
3,20266417,5,50,7.5,"MCTS(rounds=4000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax(depth=5),MCTS,Minimax,white,Minimax(depth=5),0,1,27,two_passes,416.2460717599606,14,13,367.73858780087903,48.5059782222379,26.267041985777073,3.7312290940183,72.3650318699656,12.693747035926208,1,0,-3.5,14,10,7.5,W+3.5
4,20266418,5,50,7.5,"MCTS(rounds=4000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax(depth=5),MCTS,Minimax,white,Minimax(depth=5),0,1,48,two_passes,423.4149616159266,24,24,368.8123764457414,54.6002524679061,15.36718235190589,2.2750105194960875,68.80484327406157,9.01569223694969,1,0,-32.5,0,25,7.5,W+32.5
