game_index,subrun,subrun_game_index,seed,mcts_color,minimax_color,mcts_label,minimax_label,winner_color,winner_label,mcts_won,minimax_won,move_count,termination_reason,total_duration_s,mcts_turns,minimax_turns,mcts_think_time_s,minimax_think_time_s,mcts_avg_move_time_s,minimax_avg_move_time_s,mcts_max_move_time_s,minimax_max_move_time_s,mcts_exceeded_move_time_limit,minimax_exceeded_move_time_limit,mcts_margin,abs_margin,board_size,move_limit,komi,black_label,white_label,black_family,white_family,black_won,white_won,black_margin,score_b,score_w,result_text
0,mcts_black,0,20267414,black,white,MCTS(rounds=5000),Minimax(depth=5),white,Minimax(depth=5),0,1,48,two_passes,626.3596843109699,24,24,562.691306622,63.6659415426,23.4454711093,2.65274756427,80.524489625,11.246207585,1,0,-32.5,32.5,5,50,7.5,"MCTS(rounds=5000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax(depth=5),MCTS,Minimax,0,1,-32.5,0,25,W+32.5
1,mcts_black,1,20267415,black,white,MCTS(rounds=5000),Minimax(depth=5),white,Minimax(depth=5),0,1,27,two_passes,398.63700937398244,14,13,363.877275721,34.7584526277,25.9912339801,2.67372712521,69.1699333311,9.29531274096,1,0,-3.5,3.5,5,50,7.5,"MCTS(rounds=5000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax(depth=5),MCTS,Minimax,0,1,-3.5,14,10,W+3.5
2,mcts_black,2,20267416,black,white,MCTS(rounds=5000),Minimax(depth=5),white,Minimax(depth=5),0,1,48,two_passes,586.4509474609513,24,24,533.799904269,52.6487949011,22.2416626779,2.19369978755,74.813598478,9.00077240099,1,0,-32.5,32.5,5,50,7.5,"MCTS(rounds=5000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax(depth=5),MCTS,Minimax,0,1,-32.5,0,25,W+32.5
3,mcts_black,3,20267417,black,white,MCTS(rounds=5000),Minimax(depth=5),white,Minimax(depth=5),0,1,27,two_passes,401.5157838050509,14,13,367.169721946,34.3447578959,26.2264087104,2.64190445353,74.3696822991,9.13560617703,1,0,-3.5,3.5,5,50,7.5,"MCTS(rounds=5000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax(depth=5),MCTS,Minimax,0,1,-3.5,14,10,W+3.5
4,mcts_black,4,20267418,black,white,MCTS(rounds=5000),Minimax(depth=5),white,Minimax(depth=5),0,1,48,two_passes,622.4839182199212,24,24,564.039112565,58.4424481839,23.5016296902,2.43510200766,87.5560495531,9.04436735006,1,0,-32.5,32.5,5,50,7.5,"MCTS(rounds=5000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax(depth=5),MCTS,Minimax,0,1,-32.5,0,25,W+32.5
5,mcts_white,0,20267419,white,black,MCTS(rounds=5000),Minimax(depth=5),white,"MCTS(rounds=5000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",1,0,50,move_limit_score,632.4411303250818,25,25,595.307076998,37.131264298,23.8122830799,1.48525057192,90.20043511,10.413428736,1,0,32.5,32.5,5,50,7.5,Minimax(depth=5),"MCTS(rounds=5000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,0,1,-32.5,0,25,W+32.5
6,mcts_white,1,20267420,white,black,MCTS(rounds=5000),Minimax(depth=5),white,"MCTS(rounds=5000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",1,0,50,move_limit_score,597.379103054991,25,25,564.685947036,32.6903903403,22.5874378814,1.30761561361,73.938049792,7.41280310706,1,0,32.5,32.5,5,50,7.5,Minimax(depth=5),"MCTS(rounds=5000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,0,1,-32.5,0,25,W+32.5
7,mcts_white,2,20267421,white,black,MCTS(rounds=5000),Minimax(depth=5),white,"MCTS(rounds=5000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",1,0,50,move_limit_score,640.7512024430325,25,25,603.854612557,36.8938806461,24.1541845023,1.47575522584,91.668083891,10.3369480419,1,0,32.5,32.5,5,50,7.5,Minimax(depth=5),"MCTS(rounds=5000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,0,1,-32.5,0,25,W+32.5
8,mcts_white,3,20267422,white,black,MCTS(rounds=5000),Minimax(depth=5),white,"MCTS(rounds=5000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",1,0,39,two_passes,577.1669443609426,19,20,540.173873776,36.9910193507,28.4302038829,1.84955096754,93.33177888,10.488415028,1,0,20.5,20.5,5,50,7.5,Minimax(depth=5),"MCTS(rounds=5000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,0,1,-20.5,5,18,W+20.5
9,mcts_white,4,20267423,white,black,MCTS(rounds=5000),Minimax(depth=5),black,Minimax(depth=5),0,1,39,two_passes,429.43554298905656,19,20,392.978156591,36.455613423,20.6830608732,1.82278067115,65.296435424,7.51320541801,1,0,-8.5,8.5,5,50,7.5,Minimax(depth=5),"MCTS(rounds=5000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,1,0,8.5,20,4,B+8.5
