game_index,seed,subrun,subrun_game_index,standard_color
0,20266414,standard_black,0,black
1,20266415,standard_black,1,black
2,20266416,standard_black,2,black
3,20266417,standard_black,3,black
4,20266418,standard_black,4,black
5,20266419,standard_white,0,white
6,20266420,standard_white,1,white
7,20266421,standard_white,2,white
8,20266422,standard_white,3,white
9,20266423,standard_white,4,white
