game_index,subrun,subrun_game_index,seed,mcts_color,minimax_color,mcts_label,minimax_label,winner_color,winner_label,mcts_won,minimax_won,move_count,termination_reason,total_duration_s,mcts_turns,minimax_turns,mcts_think_time_s,minimax_think_time_s,mcts_avg_move_time_s,minimax_avg_move_time_s,mcts_max_move_time_s,minimax_max_move_time_s,mcts_exceeded_move_time_limit,minimax_exceeded_move_time_limit,mcts_margin,abs_margin,board_size,move_limit,komi,black_label,white_label,black_family,white_family,black_won,white_won,black_margin,score_b,score_w,result_text
0,mcts_black,0,20262414,black,white,MCTS(rounds=2200),Minimax(depth=6),white,Minimax(depth=6),0,1,30,two_passes,363.6452129590325,15,15,192.355580474,171.288012358,12.8237053649,11.4192008239,38.7748507509,49.631298419,1,1,-13.5,13.5,5,50,7.5,"MCTS(rounds=2200, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax(depth=6),MCTS,Minimax,0,1,-13.5,9,15,W+13.5
1,mcts_black,1,20262415,black,white,MCTS(rounds=2200),Minimax(depth=6),white,Minimax(depth=6),0,1,28,two_passes,358.7419794020243,14,14,185.692133527,173.048355879,13.2637238234,12.3605968485,39.3579404061,47.217898121,1,1,-12.5,12.5,5,50,7.5,"MCTS(rounds=2200, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax(depth=6),MCTS,Minimax,0,1,-12.5,10,15,W+12.5
2,mcts_black,2,20262416,black,white,MCTS(rounds=2200),Minimax(depth=6),white,Minimax(depth=6),0,1,30,two_passes,359.10601793101523,15,15,189.553672943,169.550634857,12.6369115296,11.3033756571,38.3659974961,46.4599849361,1,1,-13.5,13.5,5,50,7.5,"MCTS(rounds=2200, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax(depth=6),MCTS,Minimax,0,1,-13.5,9,15,W+13.5
3,mcts_black,3,20262417,black,white,MCTS(rounds=2200),Minimax(depth=6),white,Minimax(depth=6),0,1,30,two_passes,254.33134006906766,15,15,148.904314915,105.425570066,9.92695432766,7.02837133773,20.1872490441,25.908246094,1,1,-13.5,13.5,5,50,7.5,"MCTS(rounds=2200, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax(depth=6),MCTS,Minimax,0,1,-13.5,9,15,W+13.5
4,mcts_black,4,20262418,black,white,MCTS(rounds=2200),Minimax(depth=6),white,Minimax(depth=6),0,1,30,two_passes,308.3375548759941,15,15,170.491639581,137.844335315,11.3661093054,9.18962235433,35.3832490831,37.000219694,1,1,-13.5,13.5,5,50,7.5,"MCTS(rounds=2200, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax(depth=6),MCTS,Minimax,0,1,-13.5,9,15,W+13.5
5,mcts_white,0,20262419,white,black,MCTS(rounds=2200),Minimax(depth=6),black,Minimax(depth=6),0,1,31,two_passes,302.88500469201244,15,16,176.452360138,126.431093085,11.7634906759,7.90194331779,26.194721063,24.4984270349,1,1,-0.5,0.5,5,50,7.5,Minimax(depth=6),"MCTS(rounds=2200, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,1,0,0.5,16,8,B+0.5
6,mcts_white,1,20262420,white,black,MCTS(rounds=2200),Minimax(depth=6),black,Minimax(depth=6),0,1,31,two_passes,276.06223861395847,15,16,163.136927824,112.923871848,10.8757951882,7.05774199051,20.671861641,24.612622195,1,1,-0.5,0.5,5,50,7.5,Minimax(depth=6),"MCTS(rounds=2200, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,1,0,0.5,16,8,B+0.5
7,mcts_white,2,20262421,white,black,MCTS(rounds=2200),Minimax(depth=6),black,Minimax(depth=6),0,1,31,two_passes,279.2977092739893,15,16,165.57200585,113.724234165,11.0381337233,7.1077646353,21.098025225,24.974136679,1,1,-0.5,0.5,5,50,7.5,Minimax(depth=6),"MCTS(rounds=2200, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,1,0,0.5,16,8,B+0.5
8,mcts_white,3,20262422,white,black,MCTS(rounds=2200),Minimax(depth=6),black,Minimax(depth=6),0,1,31,two_passes,278.3804414110491,15,16,164.975826492,113.403161211,10.9983884328,7.08769757569,20.911616876,24.728018194,1,1,-0.5,0.5,5,50,7.5,Minimax(depth=6),"MCTS(rounds=2200, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,1,0,0.5,16,8,B+0.5
9,mcts_white,4,20262423,white,black,MCTS(rounds=2200),Minimax(depth=6),black,Minimax(depth=6),0,1,31,two_passes,310.1288345140638,15,16,181.137832025,128.989526351,12.0758554683,8.06184539694,40.086492692,36.761998439,1,1,-0.5,0.5,5,50,7.5,Minimax(depth=6),"MCTS(rounds=2200, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,1,0,0.5,16,8,B+0.5
