game_index,seed,subrun,subrun_game_index,mcts_color
0,20262414,mcts_black,0,black
1,20262415,mcts_black,1,black
2,20262416,mcts_black,2,black
3,20262417,mcts_black,3,black
4,20262418,mcts_black,4,black
5,20262419,mcts_white,0,white
6,20262420,mcts_white,1,white
7,20262421,mcts_white,2,white
8,20262422,mcts_white,3,white
9,20262423,mcts_white,4,white
