game_index,seed,board_size,move_limit,komi,black_label,white_label,black_family,white_family,winner_color,winner_label,black_won,white_won,move_count,termination_reason,total_duration_s,black_turns,white_turns,black_think_time_s,white_think_time_s,black_avg_move_time_s,white_avg_move_time_s,black_max_move_time_s,white_max_move_time_s,black_exceeded_move_time_limit,white_exceeded_move_time_limit,black_margin,score_b,score_w,komi,result_text
0,20262419,5,50,7.5,Minimax(depth=6),"MCTS(rounds=2200, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,black,Minimax(depth=6),1,0,31,two_passes,302.88500469201244,16,15,126.4310930846259,176.45236013794784,7.901943317789119,11.763490675863189,24.498427034937777,26.194721063016914,1,1,0.5,16,8,7.5,B+0.5
1,20262420,5,50,7.5,Minimax(depth=6),"MCTS(rounds=2200, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,black,Minimax(depth=6),1,0,31,two_passes,276.06223861395847,16,15,112.92387184815016,163.1369278236525,7.057741990509385,10.875795188243501,24.612622195039876,20.671861640992574,1,1,0.5,16,8,7.5,B+0.5
2,20262421,5,50,7.5,Minimax(depth=6),"MCTS(rounds=2200, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,black,Minimax(depth=6),1,0,31,two_passes,279.2977092739893,16,15,113.72423416480888,165.57200584968086,7.107764635300555,11.038133723312058,24.974136678967625,21.098025224986486,1,1,0.5,16,8,7.5,B+0.5
3,20262422,5,50,7.5,Minimax(depth=6),"MCTS(rounds=2200, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,black,Minimax(depth=6),1,0,31,two_passes,278.3804414110491,16,15,113.4031612110557,164.97582649218384,7.0876975756909815,10.998388432812256,24.728018193971366,20.91161687602289,1,1,0.5,16,8,7.5,B+0.5
4,20262423,5,50,7.5,Minimax(depth=6),"MCTS(rounds=2200, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,black,Minimax(depth=6),1,0,31,two_passes,310.1288345140638,16,15,128.9895263509825,181.13783202506602,8.061845396936405,12.075855468337734,36.76199843897484,40.08649269200396,1,1,0.5,16,8,7.5,B+0.5
