game_index,seed,subrun,subrun_game_index,mcts_color
0,20264414,mcts_black,0,black
1,20264415,mcts_black,1,black
2,20264416,mcts_black,2,black
3,20264417,mcts_black,3,black
4,20264418,mcts_black,4,black
5,20264419,mcts_white,0,white
6,20264420,mcts_white,1,white
7,20264421,mcts_white,2,white
8,20264422,mcts_white,3,white
9,20264423,mcts_white,4,white
