game_index,subrun,subrun_game_index,seed,mcts_color,minimax_color,mcts_label,minimax_label,winner_color,winner_label,mcts_won,minimax_won,move_count,termination_reason,total_duration_s,mcts_turns,minimax_turns,mcts_think_time_s,minimax_think_time_s,mcts_avg_move_time_s,minimax_avg_move_time_s,mcts_max_move_time_s,minimax_max_move_time_s,mcts_exceeded_move_time_limit,minimax_exceeded_move_time_limit,mcts_margin,abs_margin,board_size,move_limit,komi,black_label,white_label,black_family,white_family,black_won,white_won,black_margin,score_b,score_w,result_text
0,mcts_black,0,20264414,black,white,MCTS(rounds=2200),Minimax(depth=5),white,Minimax(depth=5),0,1,48,two_passes,358.0952053369256,24,24,281.889812352,76.2024598521,11.745408848,3.17510249384,39.140626934,10.132111189,1,0,-32.5,32.5,5,50,7.5,"MCTS(rounds=2200, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax(depth=5),MCTS,Minimax,0,1,-32.5,0,25,W+32.5
1,mcts_black,1,20264415,black,white,MCTS(rounds=2200),Minimax(depth=5),white,Minimax(depth=5),0,1,48,two_passes,359.8277545629535,24,24,282.82455092,77.0003309902,11.7843562883,3.20834712459,38.888695179,11.058725778,1,0,-32.5,32.5,5,50,7.5,"MCTS(rounds=2200, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax(depth=5),MCTS,Minimax,0,1,-32.5,0,25,W+32.5
2,mcts_black,2,20264416,black,white,MCTS(rounds=2200),Minimax(depth=5),white,Minimax(depth=5),0,1,48,two_passes,323.1664942819625,24,24,253.523006848,69.6408337454,10.5634586187,2.90170140606,39.352471999,11.1117496671,1,0,-32.5,32.5,5,50,7.5,"MCTS(rounds=2200, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax(depth=5),MCTS,Minimax,0,1,-32.5,0,25,W+32.5
3,mcts_black,3,20264417,black,white,MCTS(rounds=2200),Minimax(depth=5),white,Minimax(depth=5),0,1,26,two_passes,187.9564374180045,13,13,156.348180186,31.606960404,12.0267830913,2.43130464646,20.896318675,6.65633385908,1,0,-6.5,6.5,5,50,7.5,"MCTS(rounds=2200, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax(depth=5),MCTS,Minimax,0,1,-6.5,13,12,W+6.5
4,mcts_black,4,20264418,black,white,MCTS(rounds=2200),Minimax(depth=5),white,Minimax(depth=5),0,1,48,two_passes,267.96922105702106,24,24,210.587685395,57.37898934,8.77448689145,2.3907912225,33.342454491,9.33028116508,1,0,-32.5,32.5,5,50,7.5,"MCTS(rounds=2200, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax(depth=5),MCTS,Minimax,0,1,-32.5,0,25,W+32.5
5,mcts_white,0,20264419,white,black,MCTS(rounds=2200),Minimax(depth=5),black,Minimax(depth=5),0,1,31,two_passes,287.3885717379162,15,16,230.199711621,57.1871649848,15.3466474414,3.57419781155,40.40294303,14.1325447459,1,0,-0.5,0.5,5,50,7.5,Minimax(depth=5),"MCTS(rounds=2200, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,1,0,0.5,16,8,B+0.5
6,mcts_white,1,20264420,white,black,MCTS(rounds=2200),Minimax(depth=5),black,Minimax(depth=5),0,1,50,move_limit_score,281.1476540330332,25,25,245.026503628,36.1181600967,9.80106014512,1.44472640387,21.2146682361,7.76492935198,1,0,-17.5,17.5,5,50,7.5,Minimax(depth=5),"MCTS(rounds=2200, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,1,0,17.5,25,0,B+17.5
7,mcts_white,2,20264421,white,black,MCTS(rounds=2200),Minimax(depth=5),black,Minimax(depth=5),0,1,47,two_passes,253.63258044200484,23,24,212.217836518,41.4124148887,9.22686245731,1.72551728703,40.184184497,8.26582736406,1,0,-17.5,17.5,5,50,7.5,Minimax(depth=5),"MCTS(rounds=2200, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,1,0,17.5,25,0,B+17.5
8,mcts_white,3,20264422,white,black,MCTS(rounds=2200),Minimax(depth=5),black,Minimax(depth=5),0,1,43,two_passes,276.51724293699954,21,22,240.282338124,36.232598471,11.4420161012,1.64693629414,39.897187665,7.37511897902,1,0,-5.5,5.5,5,50,7.5,Minimax(depth=5),"MCTS(rounds=2200, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,1,0,5.5,19,6,B+5.5
9,mcts_white,4,20264423,white,black,MCTS(rounds=2200),Minimax(depth=5),black,Minimax(depth=5),0,1,47,two_passes,383.3192563899793,23,24,322.114196318,61.2022535442,14.0049650573,2.55009389768,39.951150249,14.75379651,1,0,-17.5,17.5,5,50,7.5,Minimax(depth=5),"MCTS(rounds=2200, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,1,0,17.5,25,0,B+17.5
