game_index,subrun,subrun_game_index,seed,mcts_color,minimax_color,mcts_label,minimax_label,winner_color,winner_label,mcts_won,minimax_won,move_count,termination_reason,total_duration_s,mcts_turns,minimax_turns,mcts_think_time_s,minimax_think_time_s,mcts_avg_move_time_s,minimax_avg_move_time_s,mcts_max_move_time_s,minimax_max_move_time_s,mcts_exceeded_move_time_limit,minimax_exceeded_move_time_limit,mcts_margin,abs_margin,board_size,move_limit,komi,black_label,white_label,black_family,white_family,black_won,white_won,black_margin,score_b,score_w,result_text
0,mcts_black,0,20261414,black,white,MCTS(rounds=600),Minimax(depth=5),white,Minimax(depth=5),0,1,26,two_passes,137.19814883801155,13,13,78.1450262793,59.050901035,6.01115586764,4.54237700269,10.6753444329,11.51826461,0,0,-6.5,6.5,5,50,7.5,"MCTS(rounds=600, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax(depth=5),MCTS,Minimax,0,1,-6.5,13,12,W+6.5
1,mcts_black,1,20261415,black,white,MCTS(rounds=600),Minimax(depth=5),white,Minimax(depth=5),0,1,40,two_passes,183.68355528102256,20,20,107.17591028,76.5038288393,5.358795514,3.82519144196,10.961961147,12.8529275161,0,0,-21.5,21.5,5,50,7.5,"MCTS(rounds=600, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax(depth=5),MCTS,Minimax,0,1,-21.5,5,19,W+21.5
2,mcts_black,2,20261416,black,white,MCTS(rounds=600),Minimax(depth=5),white,Minimax(depth=5),0,1,28,two_passes,92.1975418770453,14,14,51.4015662193,40.7943234158,3.67154044423,2.91388024399,7.86092350306,8.68370005791,0,0,-6.5,6.5,5,50,7.5,"MCTS(rounds=600, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax(depth=5),MCTS,Minimax,0,1,-6.5,13,12,W+6.5
3,mcts_black,3,20261417,black,white,MCTS(rounds=600),Minimax(depth=5),white,Minimax(depth=5),0,1,26,two_passes,115.5139159890823,13,13,69.2919117021,46.2199093191,5.33014705401,3.55537763993,10.6108923421,8.85984867997,0,0,-6.5,6.5,5,50,7.5,"MCTS(rounds=600, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax(depth=5),MCTS,Minimax,0,1,-6.5,13,12,W+6.5
4,mcts_black,4,20261418,black,white,MCTS(rounds=600),Minimax(depth=5),white,Minimax(depth=5),0,1,48,two_passes,107.5893731659744,24,24,55.6847446174,51.902106063,2.32019769239,2.16258775262,5.55107193801,7.45630276995,0,0,-32.5,32.5,5,50,7.5,"MCTS(rounds=600, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax(depth=5),MCTS,Minimax,0,1,-32.5,0,25,W+32.5
5,mcts_white,0,20261419,white,black,MCTS(rounds=600),Minimax(depth=5),black,Minimax(depth=5),0,1,31,two_passes,73.99279393698089,15,16,40.7807030779,33.2107448537,2.71871353853,2.07567155336,5.65197700798,7.48088549799,0,0,-0.5,0.5,5,50,7.5,Minimax(depth=5),"MCTS(rounds=600, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,1,0,0.5,16,8,B+0.5
6,mcts_white,1,20261420,white,black,MCTS(rounds=600),Minimax(depth=5),black,Minimax(depth=5),0,1,31,two_passes,143.00692922598682,15,16,77.0155423692,65.9890457464,5.13436949128,4.12431535915,10.903358389,15.0476634899,0,0,-0.5,0.5,5,50,7.5,Minimax(depth=5),"MCTS(rounds=600, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,1,0,0.5,16,8,B+0.5
7,mcts_white,2,20261421,white,black,MCTS(rounds=600),Minimax(depth=5),black,Minimax(depth=5),0,1,31,two_passes,74.0657323069172,15,16,40.8371892472,33.2271897329,2.72247928315,2.07669935831,5.67949345999,7.46443326492,0,0,-0.5,0.5,5,50,7.5,Minimax(depth=5),"MCTS(rounds=600, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,1,0,0.5,16,8,B+0.5
8,mcts_white,3,20261422,white,black,MCTS(rounds=600),Minimax(depth=5),black,Minimax(depth=5),0,1,47,two_passes,171.00964888196904,23,24,103.54015904,67.4651230806,4.50174604522,2.81104679503,11.022970648,14.491186392,0,0,-17.5,17.5,5,50,7.5,Minimax(depth=5),"MCTS(rounds=600, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,1,0,17.5,25,0,B+17.5
9,mcts_white,4,20261423,white,black,MCTS(rounds=600),Minimax(depth=5),black,Minimax(depth=5),0,1,31,two_passes,140.3463860709453,15,16,76.9238432641,63.4202232079,5.12825621761,3.96376395049,10.9265272149,14.389395213,0,0,-0.5,0.5,5,50,7.5,Minimax(depth=5),"MCTS(rounds=600, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,1,0,0.5,16,8,B+0.5
