game_index,seed,board_size,move_limit,komi,black_label,white_label,black_family,white_family,winner_color,winner_label,black_won,white_won,move_count,termination_reason,total_duration_s,black_turns,white_turns,black_think_time_s,white_think_time_s,black_avg_move_time_s,white_avg_move_time_s,black_max_move_time_s,white_max_move_time_s,black_exceeded_move_time_limit,white_exceeded_move_time_limit,black_margin,score_b,score_w,komi,result_text
0,20262414,5,50,7.5,"MCTS(rounds=2200, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax(depth=6),MCTS,Minimax,white,Minimax(depth=6),0,1,30,two_passes,363.6452129590325,15,15,192.3555804741336,171.28801235777792,12.82370536494224,11.419200823851861,38.77485075092409,49.63129841897171,1,1,-13.5,9,15,7.5,W+13.5
1,20262415,5,50,7.5,"MCTS(rounds=2200, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax(depth=6),MCTS,Minimax,white,Minimax(depth=6),0,1,28,two_passes,358.7419794020243,14,14,185.69213352701627,173.04835587914567,13.263723823358305,12.360596848510406,39.357940406072885,47.21789812098723,1,1,-12.5,10,15,7.5,W+12.5
2,20262416,5,50,7.5,"MCTS(rounds=2200, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax(depth=6),MCTS,Minimax,white,Minimax(depth=6),0,1,30,two_passes,359.10601793101523,15,15,189.55367294326425,169.5506348569179,12.63691152955095,11.30337565712786,38.36599749606103,46.45998493605293,1,1,-13.5,9,15,7.5,W+13.5
3,20262417,5,50,7.5,"MCTS(rounds=2200, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax(depth=6),MCTS,Minimax,white,Minimax(depth=6),0,1,30,two_passes,254.33134006906766,15,15,148.9043149149511,105.42557006597053,9.926954327663406,7.028371337731369,20.187249044072814,25.9082460940117,1,1,-13.5,9,15,7.5,W+13.5
4,20262418,5,50,7.5,"MCTS(rounds=2200, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax(depth=6),MCTS,Minimax,white,Minimax(depth=6),0,1,30,two_passes,308.3375548759941,15,15,170.49163958104327,137.84433531493414,11.366109305402885,9.189622354328943,35.38324908306822,37.00021969398949,1,1,-13.5,9,15,7.5,W+13.5
