game_index,seed,board_size,move_limit,komi,black_label,white_label,black_family,white_family,winner_color,winner_label,black_won,white_won,move_count,termination_reason,total_duration_s,black_turns,white_turns,black_think_time_s,white_think_time_s,black_avg_move_time_s,white_avg_move_time_s,black_max_move_time_s,white_max_move_time_s,black_exceeded_move_time_limit,white_exceeded_move_time_limit,black_margin,score_b,score_w,komi,result_text
0,20264419,5,50,7.5,Minimax(depth=5),"MCTS(rounds=2200, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,black,Minimax(depth=5),1,0,31,two_passes,287.3885717379162,16,15,57.187164984759875,230.19971162104048,3.574197811547492,15.346647441402698,14.132544745923951,40.40294302999973,0,1,0.5,16,8,7.5,B+0.5
1,20264420,5,50,7.5,Minimax(depth=5),"MCTS(rounds=2200, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,black,Minimax(depth=5),1,0,50,move_limit_score,281.1476540330332,25,25,36.11816009669565,245.02650362811983,1.4447264038678258,9.801060145124794,7.764929351978935,21.2146682360908,0,1,17.5,25,0,7.5,B+17.5
2,20264421,5,50,7.5,Minimax(depth=5),"MCTS(rounds=2200, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,black,Minimax(depth=5),1,0,47,two_passes,253.63258044200484,24,23,41.41241488873493,212.21783651818987,1.7255172870306221,9.226862457312603,8.26582736405544,40.184184496989474,0,1,17.5,25,0,7.5,B+17.5
3,20264422,5,50,7.5,Minimax(depth=5),"MCTS(rounds=2200, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,black,Minimax(depth=5),1,0,43,two_passes,276.51724293699954,22,21,36.232598470989615,240.28233812435064,1.6469362941358916,11.442016101159554,7.375118979020044,39.89718766498845,0,1,5.5,19,6,7.5,B+5.5
4,20264423,5,50,7.5,Minimax(depth=5),"MCTS(rounds=2200, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,black,Minimax(depth=5),1,0,47,two_passes,383.3192563899793,24,23,61.202253544237465,322.1141963178525,2.550093897676561,14.004965057297934,14.753796510049142,39.951150248991325,0,1,17.5,25,0,7.5,B+17.5
