game_index,seed,board_size,move_limit,komi,black_label,white_label,black_family,white_family,winner_color,winner_label,black_won,white_won,move_count,termination_reason,total_duration_s,black_turns,white_turns,black_think_time_s,white_think_time_s,black_avg_move_time_s,white_avg_move_time_s,black_max_move_time_s,white_max_move_time_s,black_exceeded_move_time_limit,white_exceeded_move_time_limit,black_margin,score_b,score_w,komi,result_text
0,20265414,5,50,7.5,"MCTS(rounds=3000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax(depth=5),MCTS,Minimax,white,Minimax(depth=5),0,1,48,two_passes,422.87769966805354,24,24,353.2822841637535,69.59278614586219,14.72009517348973,2.899699422744258,53.549388729035854,10.192358416039497,1,0,-32.5,0,25,7.5,W+32.5
1,20265415,5,50,7.5,"MCTS(rounds=3000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax(depth=5),MCTS,Minimax,white,Minimax(depth=5),0,1,48,two_passes,347.84146186802536,24,24,288.3597965929657,59.479231415782124,12.014991524706906,2.478301308990922,54.320719424053095,9.348789881914854,1,0,-32.5,0,25,7.5,W+32.5
2,20265416,5,50,7.5,"MCTS(rounds=3000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax(depth=5),MCTS,Minimax,white,Minimax(depth=5),0,1,48,two_passes,423.12304246402346,24,24,352.4296417563455,70.6907735678833,14.684568406514396,2.945448898661804,53.026588705019094,11.047857247991487,1,0,-32.5,0,25,7.5,W+32.5
3,20265417,5,50,7.5,"MCTS(rounds=3000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax(depth=5),MCTS,Minimax,white,Minimax(depth=5),0,1,48,two_passes,406.99248686491046,24,24,338.05612594482955,68.93377512332518,14.085671914367898,2.872240630138549,50.52209863893222,11.303892214898951,1,0,-32.5,0,25,7.5,W+32.5
4,20265418,5,50,7.5,"MCTS(rounds=3000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax(depth=5),MCTS,Minimax,white,Minimax(depth=5),0,1,48,two_passes,384.39626370801125,24,24,320.18708428600803,64.20665606088005,13.341128511917,2.675277335870002,53.24702953000087,11.064450306002982,1,0,-32.5,0,25,7.5,W+32.5
