game_index,seed,subrun,subrun_game_index,standard_color
0,20260414,standard_black,0,black
1,20260415,standard_black,1,black
2,20260416,standard_black,2,black
3,20260417,standard_black,3,black
4,20260418,standard_black,4,black
5,20260419,standard_white,0,white
6,20260420,standard_white,1,white
7,20260421,standard_white,2,white
8,20260422,standard_white,3,white
9,20260423,standard_white,4,white
