game_index,seed,board_size,move_limit,komi,black_label,white_label,black_family,white_family,winner_color,winner_label,black_won,white_won,move_count,termination_reason,total_duration_s,black_turns,white_turns,black_think_time_s,white_think_time_s,black_avg_move_time_s,white_avg_move_time_s,black_max_move_time_s,white_max_move_time_s,black_exceeded_move_time_limit,white_exceeded_move_time_limit,black_margin,score_b,score_w,komi,result_text
0,20267419,5,50,7.5,Minimax(depth=5),"MCTS(rounds=5000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,white,"MCTS(rounds=5000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",0,1,50,move_limit_score,632.4411303250818,25,25,37.13126429799013,595.3070769979386,1.4852505719196052,23.812283079917542,10.413428736035712,90.20043511001859,0,1,-32.5,0,25,7.5,W+32.5
1,20267420,5,50,7.5,Minimax(depth=5),"MCTS(rounds=5000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,white,"MCTS(rounds=5000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",0,1,50,move_limit_score,597.379103054991,25,25,32.690390340285376,564.6859470360214,1.307615613611415,22.587437881440856,7.412803107057698,73.93804979196284,0,1,-32.5,0,25,7.5,W+32.5
2,20267421,5,50,7.5,Minimax(depth=5),"MCTS(rounds=5000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,white,"MCTS(rounds=5000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",0,1,50,move_limit_score,640.7512024430325,25,25,36.89388064609375,603.8546125573339,1.4757552258437499,24.154184502293354,10.33694804192055,91.66808389103971,0,1,-32.5,0,25,7.5,W+32.5
3,20267422,5,50,7.5,Minimax(depth=5),"MCTS(rounds=5000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,white,"MCTS(rounds=5000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",0,1,39,two_passes,577.1669443609426,20,19,36.991019350709394,540.1738737758715,1.8495509675354698,28.430203882940603,10.488415027968585,93.3317788799759,0,1,-20.5,5,18,7.5,W+20.5
4,20267423,5,50,7.5,Minimax(depth=5),"MCTS(rounds=5000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,black,Minimax(depth=5),1,0,39,two_passes,429.43554298905656,20,19,36.45561342302244,392.9781565909507,1.822780671151122,20.683060873207932,7.513205418013968,65.29643542401027,0,1,8.5,20,4,7.5,B+8.5
