game_index,seed,board_size,move_limit,komi,black_label,white_label,black_family,white_family,winner_color,winner_label,black_won,white_won,move_count,termination_reason,total_duration_s,black_turns,white_turns,black_think_time_s,white_think_time_s,black_avg_move_time_s,white_avg_move_time_s,black_max_move_time_s,white_max_move_time_s,black_exceeded_move_time_limit,white_exceeded_move_time_limit,black_margin,score_b,score_w,komi,result_text
0,20263414,5,50,7.5,"MCTS(rounds=2200, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax(depth=4),MCTS,Minimax,white,Minimax(depth=4),0,1,26,two_passes,158.2929049169179,13,13,148.41912745311856,9.872491746093147,11.416855957932198,0.7594224420071651,20.440963895991445,2.6081508110510185,1,0,-8.5,11,12,7.5,W+8.5
1,20263415,5,50,7.5,"MCTS(rounds=2200, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax(depth=4),MCTS,Minimax,white,Minimax(depth=4),0,1,26,two_passes,180.96572908898816,13,13,169.95474841014948,11.009628944681026,13.073442185396114,0.8468945342062327,38.92133647506125,2.143266649916768,1,0,-8.5,11,12,7.5,W+8.5
2,20263416,5,50,7.5,"MCTS(rounds=2200, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax(depth=4),MCTS,Minimax,white,Minimax(depth=4),0,1,26,two_passes,216.06306433991995,13,13,203.05229078698903,13.009275089600123,15.61940698361454,1.0007134684307788,39.14475940994453,2.1614903450245038,1,0,-8.5,11,12,7.5,W+8.5
3,20263417,5,50,7.5,"MCTS(rounds=2200, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax(depth=4),MCTS,Minimax,white,Minimax(depth=4),0,1,28,two_passes,217.69481540797278,14,14,205.71986322989687,11.973425858770497,14.694275944992635,0.8552447041978927,33.687972530024126,2.6021781879244372,1,0,-6.5,13,12,7.5,W+6.5
4,20263418,5,50,7.5,"MCTS(rounds=2200, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax(depth=4),MCTS,Minimax,white,Minimax(depth=4),0,1,27,two_passes,198.3170417380752,14,13,187.44809535110835,10.867498292936943,13.38914966793631,0.8359614071489957,39.184796481975354,2.13022256095428,1,0,-4.5,14,11,7.5,W+4.5
