game_index,seed,board_size,move_limit,komi,black_label,white_label,black_family,white_family,winner_color,winner_label,black_won,white_won,move_count,termination_reason,total_duration_s,black_turns,white_turns,black_think_time_s,white_think_time_s,black_avg_move_time_s,white_avg_move_time_s,black_max_move_time_s,white_max_move_time_s,black_exceeded_move_time_limit,white_exceeded_move_time_limit,black_margin,score_b,score_w,komi,result_text
0,20261419,5,50,7.5,Minimax(depth=5),"MCTS(rounds=600, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,black,Minimax(depth=5),1,0,31,two_passes,73.99279393698089,16,15,33.21074485371355,40.780703077907674,2.075671553357097,2.718713538527178,7.480885497992858,5.651977007975802,0,0,0.5,16,8,7.5,B+0.5
1,20261420,5,50,7.5,Minimax(depth=5),"MCTS(rounds=600, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,black,Minimax(depth=5),1,0,31,two_passes,143.00692922598682,16,15,65.98904574639164,77.01554236921947,4.1243153591494774,5.134369491281299,15.047663489938714,10.903358389041387,0,0,0.5,16,8,7.5,B+0.5
2,20261421,5,50,7.5,Minimax(depth=5),"MCTS(rounds=600, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,black,Minimax(depth=5),1,0,31,two_passes,74.0657323069172,16,15,33.22718973294832,40.837189247249626,2.07669935830927,2.722479283149975,7.464433264918625,5.679493459989317,0,0,0.5,16,8,7.5,B+0.5
3,20261422,5,50,7.5,Minimax(depth=5),"MCTS(rounds=600, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,black,Minimax(depth=5),1,0,47,two_passes,171.00964888196904,24,23,67.46512308064848,103.54015904001426,2.81104679502702,4.501746045218011,14.491186392027885,11.02297064801678,0,0,17.5,25,0,7.5,B+17.5
4,20261423,5,50,7.5,Minimax(depth=5),"MCTS(rounds=600, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax,MCTS,black,Minimax(depth=5),1,0,31,two_passes,140.3463860709453,16,15,63.42022320791148,76.92384326411411,3.9637639504944673,5.128256217607608,14.389395212987438,10.92652721493505,0,0,0.5,16,8,7.5,B+0.5
