game_index,seed,board_size,move_limit,komi,black_label,white_label,black_family,white_family,winner_color,winner_label,black_won,white_won,move_count,termination_reason,total_duration_s,black_turns,white_turns,black_think_time_s,white_think_time_s,black_avg_move_time_s,white_avg_move_time_s,black_max_move_time_s,white_max_move_time_s,black_exceeded_move_time_limit,white_exceeded_move_time_limit,black_margin,score_b,score_w,komi,result_text
0,20267414,5,50,7.5,"MCTS(rounds=5000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax(depth=5),MCTS,Minimax,white,Minimax(depth=5),0,1,48,two_passes,626.3596843109699,24,24,562.6913066223497,63.665941542596556,23.44547110926457,2.6527475642748564,80.52448962500785,11.246207584976219,1,0,-32.5,0,25,7.5,W+32.5
1,20267415,5,50,7.5,"MCTS(rounds=5000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax(depth=5),MCTS,Minimax,white,Minimax(depth=5),0,1,27,two_passes,398.63700937398244,14,13,363.8772757210536,34.75845262769144,25.991233980075258,2.673727125207034,69.16993333108258,9.295312740956433,1,0,-3.5,14,10,7.5,W+3.5
2,20267416,5,50,7.5,"MCTS(rounds=5000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax(depth=5),MCTS,Minimax,white,Minimax(depth=5),0,1,48,two_passes,586.4509474609513,24,24,533.7999042690499,52.648794901091605,22.241662677877077,2.1936997875454836,74.81359847798012,9.000772400991991,1,0,-32.5,0,25,7.5,W+32.5
3,20267417,5,50,7.5,"MCTS(rounds=5000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax(depth=5),MCTS,Minimax,white,Minimax(depth=5),0,1,27,two_passes,401.5157838050509,14,13,367.16972194600385,34.3447578959167,26.226408710428846,2.641904453532054,74.36968229908962,9.135606177034788,1,0,-3.5,14,10,7.5,W+3.5
4,20267418,5,50,7.5,"MCTS(rounds=5000, c=0.6, depth=10, rollout=heuristic, expand=heuristic, prior=true)",Minimax(depth=5),MCTS,Minimax,white,Minimax(depth=5),0,1,48,two_passes,622.4839182199212,24,24,564.0391125649912,58.44244818389416,23.501629690207967,2.4351020076622567,87.55604955309536,9.044367350055836,1,0,-32.5,0,25,7.5,W+32.5
