game_index,seed,subrun,subrun_game_index,standard_color
0,20263414,standard_black,0,black
1,20263415,standard_black,1,black
2,20263416,standard_black,2,black
3,20263417,standard_black,3,black
4,20263418,standard_black,4,black
5,20263419,standard_white,0,white
6,20263420,standard_white,1,white
7,20263421,standard_white,2,white
8,20263422,standard_white,3,white
9,20263423,standard_white,4,white
