game_index,seed,subrun,subrun_game_index,standard_color
0,20264414,standard_black,0,black
1,20264415,standard_black,1,black
2,20264416,standard_black,2,black
3,20264417,standard_black,3,black
4,20264418,standard_black,4,black
5,20264419,standard_white,0,white
6,20264420,standard_white,1,white
7,20264421,standard_white,2,white
8,20264422,standard_white,3,white
9,20264423,standard_white,4,white
